TI203,PI215,PI216,PI218,MP-1101,PI255A,TI405,TI401,FT402,T_wbulb,SSC_gros
180.542572,9.756835938,9.815429688,9.90625,61.74609756,0.164550781,53.2043457,28.08227539,7258.901367,16.00150681,7.454148293
180.4816437,9.7421875,9.803710938,9.900390625,61.93320465,0.162658691,53.03955078,27.90527344,7245.014648,16.17640305,7.439619064
180.5121155,9.75390625,9.813476563,9.893554688,61.69931793,0.164611816,53.24707031,28.13110352,7440.355469,15.94511127,7.445578575
180.4816437,9.744140625,9.807617188,9.891601563,61.7344017,0.162902832,53.13720703,28.0090332,7215.46875,16.01927948,7.471036911
180.4816437,9.758789063,9.811523438,9.896484375,61.72270584,0.164916992,53.23486328,28.10668945,7104.222168,16.0904274,7.451462746
180.4511719,9.743164063,9.801757813,9.889648438,61.69931793,0.163818359,53.23486328,28.10668945,7420.22998,16.0967617,7.441445827
180.4816437,9.75,9.811523438,9.909179688,61.65254211,0.163696289,53.27758789,28.13720703,7149.611328,16.17338371,7.474182129
180.542572,9.76171875,9.8203125,9.926757813,61.64084625,0.166015625,53.47290039,28.33862305,7024.736328,16.88048553,7.473947048
180.3902283,9.671875,9.704101563,9.836914063,61.18476868,0.164916992,53.39355469,28.38745117,6995.569336,16.46243668,7.550423145
180.4816437,9.684570313,9.713867188,9.8359375,61.29001617,0.167480469,53.63769531,28.57055664,7161.979004,17.78094864,7.523848057
180.2683563,9.60546875,9.526367188,9.68359375,60.33108139,0.164978027,53.36303711,28.69873047,7174.325684,17.42528915,7.638040066
180.2683563,9.573242188,9.483398438,9.645507813,60.08549881,0.164733887,53.33251953,28.64990234,7500,17.74060631,7.643945217
180.2378845,9.596679688,9.522460938,9.677734375,60.26091385,0.164611816,53.38745117,28.70483398,7492.264648,17.62201118,7.666062355
180.1769562,9.614257813,9.534179688,9.669921875,60.29599762,0.165283203,53.43017578,28.74755859,7194.714355,17.52630424,7.633739948
180.3292999,9.596679688,9.5078125,9.65625,60.19075012,0.164611816,53.43017578,28.72924805,7447.324707,17.60477829,7.662889957
180.207428,9.586914063,9.51953125,9.66015625,60.20244217,0.16595459,53.50341797,28.7902832,7181.128418,17.57401276,7.682796001
180.2378845,9.59375,9.508789063,9.662109375,60.14397049,0.163696289,53.28369141,28.62548828,7424.341797,17.50598335,7.686341763
180.3292999,9.575195313,9.481445313,9.631835938,60.07380676,0.163574219,53.28369141,28.63769531,7467.376953,17.66578293,7.702443123
180.2683563,9.583007813,9.5,9.665039063,60.0621109,0.163452148,53.14941406,28.58886719,7262.26416,17.0198288,7.699697018
180.3292999,9.587890625,9.49609375,9.649414063,60.33108139,0.16229248,53.08837891,28.50952148,7173.049316,16.79166412,7.633503437
180.2835999,9.576171875,9.491210938,9.659179688,60.31938553,0.159912109,52.66113281,28.09448242,7220.964844,16.51564407,7.637390137
180.2531281,9.56640625,9.478515625,9.645507813,60.20244217,0.161132813,52.84423828,28.32641602,7350.395996,17.18124962,7.695615292
180.3445282,8.951171875,8.913085938,9.106445313,57.24377441,0.15020752,51.57470703,28.22265625,7080.987305,16.72117996,8.103054047
180.4054718,8.93359375,8.893554688,9.106445313,57.17361069,0.149353027,51.21459961,27.93579102,7044.691895,16.18985176,8.096604347
180.375,8.87890625,8.845703125,9.064453125,57.11513901,0.146606445,50.87280273,27.69775391,7098.635254,15.90693569,8.048811913
180.2683563,8.907226563,8.870117188,9.076171875,57.11513901,0.147705078,50.95825195,27.72216797,7204.887207,16.22530174,8.069969177
180.3292999,8.844726563,8.813476563,9.0234375,56.86955643,0.146057129,50.87890625,27.62451172,7280.730469,15.57412529,8.13380146
180.375,8.913085938,8.872070313,9.08203125,57.20869446,0.145751953,50.78125,27.60620117,7318.773926,15.85214424,8.086546898
180.4054718,8.8828125,8.84765625,9.057617188,57.03327942,0.145874023,50.74462891,27.60009766,7124.383301,15.83235741,8.112477303
180.4359436,8.877929688,8.83984375,9.037109375,56.96311188,0.145263672,50.83618164,27.55737305,7263.944824,16.51144409,8.138860703
180.4359436,8.901367188,8.8671875,9.083984375,57.02158356,0.149841309,51.30004883,28.05786133,7510.978516,16.45225716,8.027687073
180.375,8.907226563,8.870117188,9.067382813,56.88125229,0.149230957,51.33666992,28.0456543,7143.206055,16.49651337,8.123260498
180.4664001,8.947265625,8.912109375,9.125,57.20869446,0.151123047,51.6418457,28.30810547,7231.100586,16.96573257,8.025273323
180.375,8.950195313,8.912109375,9.1328125,57.15022278,0.152404785,51.79443359,28.37524414,7297.059082,17.65821838,8.053922653
180.4054718,8.96484375,8.926757813,9.119140625,57.04497147,0.156433105,52.45361328,28.88793945,7254.696289,18.28392792,8.04242897
180.3445282,8.96875,8.93359375,9.143554688,57.10344315,0.155944824,52.33154297,28.86962891,7170.070801,18.23721886,8.036202431
180.2835999,8.984375,8.94140625,9.141601563,56.98649979,0.157165527,52.42919922,28.93676758,7522.346191,18.28850174,8.086894989
180.375,8.948242188,8.91015625,9.127929688,56.9046402,0.153930664,52.09350586,28.63769531,7311.682129,17.17736435,8.081518173
180.4664001,8.948242188,8.912109375,9.106445313,57.0917511,0.151672363,51.74560547,28.34472656,7111.520996,17.0348587,8.020604134
180.375,8.932617188,8.891601563,9.083984375,57.0917511,0.150512695,51.50756836,28.19213867,7332.9375,16.64027977,8.07443428
180.4207001,8.897460938,8.864257813,9.078125,57.02158356,0.149597168,51.31835938,28.01513672,7058.541016,16.79029083,8.028837204
180.4511719,8.903320313,8.869140625,9.078125,57.22038651,0.148254395,51.2512207,27.91748047,7161.553223,16.73485184,8.042896271
180.4968719,8.909179688,8.873046875,9.067382813,57.18530273,0.149414063,51.22680664,27.96020508,7065.886719,16.53090668,8.037075996
