PI255A,MP-1101,T_wbulb,TI401,PI215,TI203,FT402,PI218,TI405,PI216,SSC_gros
0.163818359,62.20217514,16.00134659,28.10058594,9.795898438,180.5882874,7458.789551,9.926757813,53.23486328,9.771484375,7.373693943
0.16607666,62.03845596,16.37950897,28.29589844,9.802734375,180.5882874,7241.222656,9.932617188,53.36303711,9.7734375,7.395094395
0.166320801,62.05014801,16.7745018,28.36914063,9.798828125,180.5578156,7236.163574,9.919921875,53.515625,9.771484375,7.385924816
0.168273926,62.01506424,16.95599747,28.49731445,9.799804688,180.5578156,7195.986816,9.935546875,53.61328125,9.7734375,7.400465488
0.16796875,61.85134506,16.95806503,28.54003906,9.798828125,180.5273438,7172.198242,9.93359375,53.66210938,9.768554688,7.433784962
0.165344238,60.72868729,17.49969482,28.70483398,9.663085938,180.4359436,7300.403809,9.723632813,53.44238281,9.587890625,7.543840885
0.165222168,60.74038315,17.32653809,28.65600586,9.657226563,180.4359436,7275.279297,9.745117188,53.42407227,9.592773438,7.581120968
0.165222168,60.69360733,17.57350922,28.69873047,9.663085938,180.4664001,7421.052734,9.737304688,53.47290039,9.58984375,7.562893391
0.165161133,60.76377106,17.18405914,28.68652344,9.651367188,180.4359436,7255.537109,9.752929688,53.46069336,9.586914063,7.589653492
0.16204834,60.65852356,16.83838272,28.41796875,9.641601563,180.4359436,7157.716797,9.723632813,53.13720703,9.53515625,7.568127155
0.162597656,60.76377106,16.76783562,28.37524414,9.647460938,180.5273438,7283.244629,9.711914063,52.95410156,9.561523438,7.549776077
0.161682129,61.78117752,16.08836174,28.01513672,9.717773438,180.5578156,7148.757813,9.866210938,53.00292969,9.751953125,7.423041821
0.161682129,61.55898666,15.86467934,27.94799805,9.725585938,180.5578156,7198.106934,9.887695313,52.90527344,9.768554688,7.473964691
0.160217285,61.72270584,15.75557804,27.8503418,9.71484375,180.5273438,7333.77002,9.865234375,52.83203125,9.76171875,7.444715977
0.160705566,61.74609756,15.744524,27.90527344,9.721679688,180.6187439,7321.275391,9.8671875,52.83203125,9.756835938,7.449538708
0.14453125,56.96311188,15.76511669,27.6550293,8.8671875,180.4359436,7346.243164,9.046875,50.76293945,8.834960938,8.08586216
0.144226074,57.08005524,15.64006233,27.60009766,8.864257813,180.3445282,7237.428711,9.033203125,50.65917969,8.826171875,8.086586952
0.144836426,57.0098877,15.92196751,27.56347656,8.865234375,180.4054718,7179.00293,9.016601563,50.72021484,8.830078125,8.115152359
0.144897461,57.04497147,15.81957245,27.56347656,8.864257813,180.4207001,7424.75293,9.056640625,50.67749023,8.833007813,8.105644226
0.143615723,56.95141602,15.58459663,27.47192383,8.853515625,180.5121155,7279.89209,9.010742188,50.54321289,8.823242188,8.103756905
0.143493652,57.12683105,15.88862896,27.41088867,8.8671875,180.4816437,7389.73291,9.040039063,50.48828125,8.83203125,8.049295425
0.144897461,57.05666733,15.76561069,27.62451172,8.873046875,180.3902283,7302.493652,9.065429688,50.65307617,8.841796875,8.067079544
0.146789551,57.04497147,15.99960232,27.78930664,8.885742188,180.3597717,7329.607422,9.064453125,50.88500977,8.849609375,8.096868515
0.146362305,56.85786438,16.52580643,27.9296875,8.85546875,180.3902283,7405.40918,9.022460938,51.06811523,8.825195313,8.136265755
0.146911621,57.08005524,16.50561523,27.90527344,8.885742188,180.3292999,7486.560059,9.05859375,51.11083984,8.848632813,8.11085701
0.16595459,61.74609756,17.04214478,28.31420898,9.76953125,180.4511719,7380.228516,9.904296875,53.33862305,9.744140625,7.45890522
0.16619873,61.18476868,17.18302917,28.5949707,9.682617188,180.4816437,7391.384766,9.846679688,53.54003906,9.704101563,7.503210068
0.164428711,60.76377106,17.35388947,28.61938477,9.634765625,180.2988281,7412.411621,9.74609375,53.40576172,9.587890625,7.568620205
0.166748047,60.81055069,17.47068787,28.77197266,9.634765625,180.3292999,7215.891602,9.770507813,53.52783203,9.608398438,7.565038204
0.167175293,60.19075012,18.02284622,29.01000977,9.620117188,180.3292999,7186.226074,9.696289063,53.64990234,9.529296875,7.618319988
0.163330078,59.875,18.07480621,28.83300781,9.534179688,180.2378845,7469.828613,9.59765625,53.28369141,9.444335938,7.709014893
0.163879395,59.67619705,18.15727615,28.85742188,9.516601563,180.2683563,7098.635254,9.583007813,53.29589844,9.426757813,7.738667488
0.163024902,59.69958496,17.80774307,28.82080078,9.466796875,180.3902283,7437.073242,9.577148438,53.3203125,9.390625,7.734007359
0.164611816,59.53586578,17.91646957,28.87573242,9.481445313,180.4511719,7056.811035,9.565429688,53.29589844,9.407226563,7.731659889
0.163269043,59.55925369,17.77240372,28.77197266,9.498046875,180.3597717,7133.373047,9.595703125,53.23486328,9.411132813,7.751482487
0.157409668,56.86955643,17.7389164,28.7902832,8.958007813,180.3902283,6985.091309,9.102539063,52.59399414,8.920898438,8.080286026
0.15447998,57.15022278,17.34936905,28.46069336,8.963867188,180.4968719,7210.391602,9.141601563,52.13012695,8.926757813,8.060451508
0.150512695,57.06835938,16.4464283,28.0456543,8.921875,180.4968719,7342.503418,9.081054688,51.57470703,8.885742188,8.052296638
0.149841309,57.10344315,16.88687134,27.96630859,8.920898438,180.3902283,7378.160645,9.079101563,51.48925781,8.881835938,8.077899933
0.15246582,56.92802811,17.05968666,28.14941406,8.942382813,180.4207001,7256.378418,9.111328125,51.73950195,8.903320313,8.118871689
0.163146973,61.79287338,15.90538502,27.93579102,9.739257813,180.5121155,7416.116211,9.899414063,53.02124023,9.791015625,7.467299461
0.164550781,61.74609756,16.00150681,28.08227539,9.756835938,180.542572,7258.901367,9.90625,53.2043457,9.815429688,7.454148293
0.162658691,61.93320465,16.17640305,27.90527344,9.7421875,180.4816437,7245.014648,9.900390625,53.03955078,9.803710938,7.439619064
0.164611816,61.69931793,15.94511127,28.13110352,9.75390625,180.5121155,7440.355469,9.893554688,53.24707031,9.813476563,7.445578575
0.162902832,61.7344017,16.01927948,28.0090332,9.744140625,180.4816437,7215.46875,9.891601563,53.13720703,9.807617188,7.471036911
0.164916992,61.72270584,16.0904274,28.10668945,9.758789063,180.4816437,7104.222168,9.896484375,53.23486328,9.811523438,7.451462746
0.163818359,61.69931793,16.0967617,28.10668945,9.743164063,180.4511719,7420.22998,9.889648438,53.23486328,9.801757813,7.441445827
0.163696289,61.65254211,16.17338371,28.13720703,9.75,180.4816437,7149.611328,9.909179688,53.27758789,9.811523438,7.474182129
0.166015625,61.64084625,16.88048553,28.33862305,9.76171875,180.542572,7024.736328,9.926757813,53.47290039,9.8203125,7.473947048
0.164916992,61.18476868,16.46243668,28.38745117,9.671875,180.3902283,6995.569336,9.836914063,53.39355469,9.704101563,7.550423145
0.167480469,61.29001617,17.78094864,28.57055664,9.684570313,180.4816437,7161.979004,9.8359375,53.63769531,9.713867188,7.523848057
0.164978027,60.33108139,17.42528915,28.69873047,9.60546875,180.2683563,7174.325684,9.68359375,53.36303711,9.526367188,7.638040066
0.164733887,60.08549881,17.74060631,28.64990234,9.573242188,180.2683563,7500,9.645507813,53.33251953,9.483398438,7.643945217
0.164611816,60.26091385,17.62201118,28.70483398,9.596679688,180.2378845,7492.264648,9.677734375,53.38745117,9.522460938,7.666062355
0.165283203,60.29599762,17.52630424,28.74755859,9.614257813,180.1769562,7194.714355,9.669921875,53.43017578,9.534179688,7.633739948
0.164611816,60.19075012,17.60477829,28.72924805,9.596679688,180.3292999,7447.324707,9.65625,53.43017578,9.5078125,7.662889957
0.16595459,60.20244217,17.57401276,28.7902832,9.586914063,180.207428,7181.128418,9.66015625,53.50341797,9.51953125,7.682796001
0.163696289,60.14397049,17.50598335,28.62548828,9.59375,180.2378845,7424.341797,9.662109375,53.28369141,9.508789063,7.686341763
0.163574219,60.07380676,17.66578293,28.63769531,9.575195313,180.3292999,7467.376953,9.631835938,53.28369141,9.481445313,7.702443123
0.163452148,60.0621109,17.0198288,28.58886719,9.583007813,180.2683563,7262.26416,9.665039063,53.14941406,9.5,7.699697018
0.16229248,60.33108139,16.79166412,28.50952148,9.587890625,180.3292999,7173.049316,9.649414063,53.08837891,9.49609375,7.633503437
0.159912109,60.31938553,16.51564407,28.09448242,9.576171875,180.2835999,7220.964844,9.659179688,52.66113281,9.491210938,7.637390137
0.161132813,60.20244217,17.18124962,28.32641602,9.56640625,180.2531281,7350.395996,9.645507813,52.84423828,9.478515625,7.695615292
0.15020752,57.24377441,16.72117996,28.22265625,8.951171875,180.3445282,7080.987305,9.106445313,51.57470703,8.913085938,8.103054047
0.149353027,57.17361069,16.18985176,27.93579102,8.93359375,180.4054718,7044.691895,9.106445313,51.21459961,8.893554688,8.096604347
0.146606445,57.11513901,15.90693569,27.69775391,8.87890625,180.375,7098.635254,9.064453125,50.87280273,8.845703125,8.048811913
0.147705078,57.11513901,16.22530174,27.72216797,8.907226563,180.2683563,7204.887207,9.076171875,50.95825195,8.870117188,8.069969177
0.146057129,56.86955643,15.57412529,27.62451172,8.844726563,180.3292999,7280.730469,9.0234375,50.87890625,8.813476563,8.13380146
0.145751953,57.20869446,15.85214424,27.60620117,8.913085938,180.375,7318.773926,9.08203125,50.78125,8.872070313,8.086546898
0.145874023,57.03327942,15.83235741,27.60009766,8.8828125,180.4054718,7124.383301,9.057617188,50.74462891,8.84765625,8.112477303
0.145263672,56.96311188,16.51144409,27.55737305,8.877929688,180.4359436,7263.944824,9.037109375,50.83618164,8.83984375,8.138860703
0.149841309,57.02158356,16.45225716,28.05786133,8.901367188,180.4359436,7510.978516,9.083984375,51.30004883,8.8671875,8.027687073
0.149230957,56.88125229,16.49651337,28.0456543,8.907226563,180.375,7143.206055,9.067382813,51.33666992,8.870117188,8.123260498
0.151123047,57.20869446,16.96573257,28.30810547,8.947265625,180.4664001,7231.100586,9.125,51.6418457,8.912109375,8.025273323
0.152404785,57.15022278,17.65821838,28.37524414,8.950195313,180.375,7297.059082,9.1328125,51.79443359,8.912109375,8.053922653
0.156433105,57.04497147,18.28392792,28.88793945,8.96484375,180.4054718,7254.696289,9.119140625,52.45361328,8.926757813,8.04242897
0.155944824,57.10344315,18.23721886,28.86962891,8.96875,180.3445282,7170.070801,9.143554688,52.33154297,8.93359375,8.036202431
0.157165527,56.98649979,18.28850174,28.93676758,8.984375,180.2835999,7522.346191,9.141601563,52.42919922,8.94140625,8.086894989
0.153930664,56.9046402,17.17736435,28.63769531,8.948242188,180.375,7311.682129,9.127929688,52.09350586,8.91015625,8.081518173
0.151672363,57.0917511,17.0348587,28.34472656,8.948242188,180.4664001,7111.520996,9.106445313,51.74560547,8.912109375,8.020604134
0.150512695,57.0917511,16.64027977,28.19213867,8.932617188,180.375,7332.9375,9.083984375,51.50756836,8.891601563,8.07443428
0.149597168,57.02158356,16.79029083,28.01513672,8.897460938,180.4207001,7058.541016,9.078125,51.31835938,8.864257813,8.028837204
0.148254395,57.22038651,16.73485184,27.91748047,8.903320313,180.4511719,7161.553223,9.078125,51.2512207,8.869140625,8.042896271
0.149414063,57.18530273,16.53090668,27.96020508,8.909179688,180.4968719,7065.886719,9.067382813,51.22680664,8.873046875,8.037075996
0.147155762,57.03327942,16.39120102,27.8137207,8.884765625,180.4359436,7455.925293,9.057617188,51.07421875,8.848632813,8.106005669
0.146972656,57.08005524,16.18297768,27.75268555,8.891601563,180.4968719,7077.538574,9.0703125,50.98266602,8.85546875,8.038478851
0.145812988,56.93972397,16.11123085,27.6550293,8.865234375,180.4054718,7068.478027,9.041015625,50.88500977,8.833007813,8.059226036
0.145874023,57.04497147,15.61134338,27.66723633,8.87109375,180.4054718,7400.875,9.04296875,50.87280273,8.834960938,8.077652931
0.147094727,56.88125229,15.99374199,27.78320313,8.879882813,180.4359436,7106.369629,9.056640625,51.04370117,8.844726563,8.121265411
0.14666748,57.0917511,15.8849678,27.75268555,8.87890625,180.4664001,7447.324707,9.056640625,50.96435547,8.845703125,8.085259438
0.146911621,57.0098877,15.87842369,27.71606445,8.8671875,180.5273438,7281.568359,9.055664063,50.95825195,8.834960938,8.046488762
0.144470215,57.22038651,15.73859882,27.50244141,8.87890625,180.5273438,7368.641113,9.063476563,50.72021484,8.848632813,8.021165848
0.144714355,57.10344315,15.70285797,27.48413086,8.862304688,180.4968719,7347.904297,9.041015625,50.65307617,8.831054688,8.036194801
0.144470215,57.0917511,15.64715195,27.45361328,8.849609375,180.4359436,7625.496094,9.057617188,50.64697266,8.8203125,8.044492722
0.145080566,57.12683105,15.93589592,27.54516602,8.875,180.4359436,7340.424805,9.051757813,50.68969727,8.83984375,8.068744659
0.162658691,62.07353592,16.61540031,27.85644531,9.791992188,180.5578156,7615.083984,9.9375,52.83813477,9.766601563,7.402851105
0.164550781,61.80456924,16.18216324,28.17993164,9.7734375,180.4968719,7314.186035,9.8984375,53.31420898,9.747070313,7.44519186
0.166137695,61.7344017,16.84175682,28.3203125,9.775390625,180.4664001,7303.747559,9.915039063,53.46069336,9.748046875,7.460524082
0.166687012,60.28430557,17.76119041,28.57666016,9.602539063,180.2226563,7357.865234,9.682617188,53.62548828,9.541015625,7.648089409
0.161865234,59.1616478,17.59055328,28.77807617,9.385742188,180.3292999,7113.666504,9.498046875,53.11279297,9.31640625,7.756836414
0.161437988,59.18503571,17.41342735,28.69873047,9.391601563,180.2683563,7316.271973,9.48828125,52.97851563,9.319335938,7.754276752
0.160217285,59.64111328,16.97749901,28.44848633,9.455078125,180.4054718,6990.769043,9.552734375,52.90527344,9.3828125,7.676520348
0.162109375,59.80483627,17.73496437,28.71704102,9.502929688,180.2835999,7171.772949,9.58203125,53.10058594,9.420898438,7.706091404
0.162475586,60.17905426,17.20180893,28.58886719,9.583984375,180.3445282,7414.881348,9.670898438,53.08227539,9.497070313,7.63724041
0.163635254,60.17905426,17.46773338,28.65600586,9.59765625,180.3140564,7051.619629,9.685546875,53.27758789,9.520507813,7.672337532
0.163574219,60.09719467,17.52130127,28.7109375,9.592773438,180.2835999,7269.824219,9.663085938,53.21044922,9.508789063,7.662882805
0.162902832,60.15566635,17.10505676,28.57666016,9.584960938,180.2835999,7252.592285,9.654296875,53.09448242,9.498046875,7.629431248
0.163635254,60.15566635,17.3571701,28.71704102,9.594726563,180.375,7147.477051,9.676757813,53.2409668,9.505859375,7.649393082
0.161254883,60.13227844,17.05675316,28.46069336,9.544921875,180.4359436,7353.301758,9.634765625,52.98461914,9.458007813,7.622305393
0.159790039,60.09719467,16.55640984,28.39355469,9.55078125,180.4664001,7086.157227,9.623046875,52.80151367,9.462890625,7.675435066
0.156921387,60.21413803,16.20155334,27.99072266,9.532226563,180.4359436,7443.635742,9.608398438,52.30712891,9.447265625,7.623166561
0.156677246,60.29599762,15.67424202,27.97241211,9.54296875,180.3140564,7141.069336,9.607421875,52.43530273,9.453125,7.629750252
0.160766602,60.61174393,16.19431496,28.14331055,9.63671875,180.4511719,6989.022461,9.690429688,52.71606445,9.547851563,7.554208755
0.143798828,56.98649979,15.78239822,27.6550293,8.859375,180.4816437,7136.367188,9.043945313,50.72631836,8.82421875,8.071842194
0.144104004,56.85786438,15.68462944,27.60009766,8.8359375,180.4816437,7188.349121,9.008789063,50.71411133,8.8046875,8.055727005
0.144897461,56.88125229,15.99298763,27.6550293,8.829101563,180.3292999,7092.614258,9.013671875,50.68969727,8.798828125,8.040543556
0.145935059,57.08005524,15.96994686,27.75268555,8.876953125,180.3445282,7019.521484,9.068359375,50.81787109,8.844726563,8.053770065
0.144714355,57.20869446,15.8740406,27.67944336,8.872070313,180.3445282,6977.660156,9.033203125,50.71411133,8.841796875,8.066170692
0.163818359,61.88642883,16.24076462,28.11279297,9.783203125,180.4968719,7416.527832,9.920898438,53.18603516,9.756835938,7.406810284
0.164367676,61.8396492,16.43624306,28.23486328,9.783203125,180.5578156,7471.462402,9.9140625,53.30810547,9.760742188,7.436276436
0.166931152,61.79287338,16.92796707,28.39355469,9.782226563,180.5578156,7019.521484,9.932617188,53.49121094,9.759765625,7.441949844
0.166259766,61.72270584,16.63595963,28.45458984,9.787109375,180.4968719,7108.945801,9.9296875,53.61328125,9.760742188,7.435350895
0.166564941,61.72270584,16.77242661,28.39355469,9.780273438,180.4664001,7115.811035,9.91796875,53.50341797,9.754882813,7.420806885
0.165222168,61.93320465,16.37664604,28.25927734,9.791992188,180.5273438,7210.814941,9.926757813,53.38745117,9.763671875,7.381156921
0.167358398,61.8396492,17.43777084,28.52783203,9.775390625,180.4664001,7138.932617,9.912109375,53.66821289,9.747070313,7.421975136
0.168518066,61.58237457,17.35894012,28.69873047,9.767578125,180.4054718,7132.51709,9.905273438,53.86352539,9.743164063,7.468146324
0.162536621,59.69958496,17.80288506,28.69262695,9.4921875,180.4054718,7151.318359,9.573242188,53.10668945,9.412109375,7.700687885
0.162597656,59.67619705,17.82427597,28.74755859,9.48046875,180.4054718,7242.486816,9.5625,53.13110352,9.40625,7.675475597
0.161437988,59.64111328,17.0898838,28.60717773,9.467773438,180.3445282,7193.866211,9.568359375,52.97241211,9.39453125,7.668796539
0.160949707,59.664505,17.48503494,28.63769531,9.466796875,180.4664001,7135.083984,9.559570313,53.0090332,9.391601563,7.700739861
0.159912109,59.74636459,17.54672813,28.52783203,9.470703125,180.4054718,7136.367188,9.555664063,52.87475586,9.392578125,7.69356823
0.160217285,59.74636459,17.44612312,28.515625,9.463867188,180.4968719,6982.906738,9.576171875,52.84423828,9.391601563,7.684760571
0.161682129,60.70529938,16.92484665,28.30810547,9.598632813,180.4054718,7091.753418,9.7109375,52.8137207,9.565429688,7.643760204
0.161254883,60.85732651,16.55856514,28.35693359,9.63671875,180.4664001,7179.853027,9.717773438,53.02124023,9.557617188,7.547502041
0.159851074,60.82224274,16.40924072,28.17382813,9.62890625,180.4359436,7153.452148,9.723632813,52.80151367,9.561523438,7.564570427
0.16204834,61.24324036,16.22753334,28.11889648,9.653320313,180.4664001,7078.832031,9.8125,53.0090332,9.645507813,7.47547102
0.148071289,56.76430893,16.09781647,27.68554688,8.848632813,180.4968719,6979.409668,9.034179688,51.14746094,8.815429688,8.076325417
0.147216797,56.6122818,16.41154289,27.67944336,8.819335938,180.2835999,7052.485352,9.008789063,51.04980469,8.79296875,8.124031067
0.148376465,56.7993927,16.22592735,27.77709961,8.840820313,180.2835999,6996.441406,9.047851563,51.20849609,8.806640625,8.110696793
0.147521973,56.64736557,16.15864563,27.68554688,8.829101563,180.2835999,7095.195313,8.994140625,51.06811523,8.793945313,8.137306213
